"Nednaam","Wetnaam","n"
"Gestreepte witbol","Holcus lanatus",4104
"Zomereik","Quercus robur",3938
"Grote brandnetel","Urtica dioica",3137
"Pitrus","Juncus effusus",2284
"Brede stekelvaren","Dryopteris dilatata",2080
"Gewoon reukgras","Anthoxanthum odoratum",1882
"Zachte berk","Betula pubescens",1844
"Bochtige smele","Deschampsia flexuosa",1785
"Ruwe berk","Betula pendula",1566
"Engels raaigras","Lolium perenne",1434
"Smalle stekelvaren","Dryopteris carthusiana",1297
"Watermunt","Mentha aquatica",1199
"Es","Fraxinus excelsior",1171
"Gewone dophei","Erica tetralix",1015
"Hulst","Ilex aquifolium",958
"Jakobskruiskruid_Duinkruiskruid","Jacobaea vulgaris",955
"Duizendblad","Achillea millefolium",915
"Amerikaanse eik","Quercus rubra",702
"Hazelaar","Corylus avellana",620
"Gewone vogelkers","Prunus padus",580
"Kruipwilg","Salix repens",528
"Tweerijige zegge","Carex disticha",469
"Veenpluis","Eriophorum angustifolium",432
"Spaanse aak","Acer campestre",428
"Zandstruisgras","Agrostis vinealis",387
"Peen","Daucus carota",304
"Kraaihei","Empetrum nigrum",302
"Ruwe smele","Deschampsia cespitosa",288
"Ratelpopulier","Populus tremula",238
"Zoete kers","Prunus avium",209
"Knolboterbloem","Ranunculus bulbosus",195
"Kleine zonnedauw","Drosera intermedia",169
"Bosanemoon","Anemone nemorosa",130
"Muurpeper","Sedum acre",111
"Wilde gagel","Myrica gale",105
"Moeraswespenorchis","Epipactis palustris",102
"Gevlekte orchis_Bosorchis","Dactylorhiza maculata",101
"Brede wespenorchis_Duinwespenorchis","Epipactis helleborine",96
"Dalkruid","Maianthemum bifolium",91
"Witte klaverzuring","Oxalis acetosella",90
"Parnassia","Parnassia palustris",87
"Eenarig wollegras","Eriophorum vaginatum",81
"Kleine ratelaar","Rhinanthus minor",77
"Bosaardbei","Fragaria vesca",63
"Tengere rus","Juncus tenuis",59
"Kleine veenbes","Vaccinium oxycoccos",57
"Bevertjes","Briza media",40
"Gewoon kweldergras","Puccinellia maritima",37
"Asperge_Liggende asperge","Asparagus officinalis",31
"Slanke sleutelbloem","Primula elatior",24
