X,Y,Plot,naam,lmf_indeling,bodemgebruik,OMSCHRIJVI,geometry,lmf_english
176363724.3499993,308871125.25349903,Grid1,Limburg,riv,Water,Water,POINT (176208.7243499993 308408.125253499),River area 
179008331.2499994,308871125.25349903,Grid2,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (178853.3312499994 308408.125253499),Hill country Limburg 
184297545.04999942,308871125.25349903,Grid3,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (184142.5450499994 308408.125253499),Hill country Limburg 
186942151.9499994,308871125.25349903,Grid4,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (186787.1519499994 308408.125253499),Hill country Limburg 
192231365.74999937,308871125.25349903,Grid5,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (192076.3657499994 308408.125253499),Hill country Limburg 
194875972.6499994,308871125.25349903,Grid6,Limburg,hll,Landbouw en overig agrarisch,Zware zavel,POINT (194720.9726499994 308408.125253499),Hill country Limburg 
197520579.5499995,308871125.25349903,Grid7,Limburg,hll,Landbouw en overig agrarisch,Zware zavel,POINT (197365.5795499995 308408.125253499),Hill country Limburg 
179008331.2499994,311994979.760499,Grid8,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (178853.3312499994 311531.979760499),Hill country Limburg 
181652938.14999938,311994979.760499,Grid9,Limburg,hll,Bebouwd,Leem,POINT (181497.9381499994 311531.979760499),Hill country Limburg 
184297545.04999942,311994979.760499,Grid10,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (184142.5450499994 311531.979760499),Hill country Limburg 
186942151.9499994,311994979.760499,Grid11,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (186787.1519499994 311531.979760499),Hill country Limburg 
189586758.8499994,311994979.760499,Grid12,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (189431.7588499994 311531.979760499),Hill country Limburg 
192231365.74999937,311994979.760499,Grid13,Limburg,hll,Landbouw en overig agrarisch,Zware zavel,POINT (192076.3657499994 311531.979760499),Hill country Limburg 
194875972.6499994,311994979.760499,Grid14,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (194720.9726499994 311531.979760499),Hill country Limburg 
197520579.5499995,311994979.760499,Grid15,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (197365.5795499995 311531.979760499),Hill country Limburg 
176363724.3499993,315118834.26749897,Grid16,Limburg,hll,Bebouwd,"Bebouwing, enz",POINT (176208.7243499993 314655.834267499),Hill country Limburg 
179008331.2499994,315118834.26749897,Grid17,Limburg,,Bebouwd,"Bebouwing, enz",POINT (178853.3312499994 314655.834267499),
181652938.14999938,315118834.26749897,Grid18,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (181497.9381499994 314655.834267499),Hill country Limburg 
184297545.04999942,315118834.26749897,Grid19,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (184142.5450499994 314655.834267499),Hill country Limburg 
186942151.9499994,315118834.26749897,Grid20,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (186787.1519499994 314655.834267499),Hill country Limburg 
189586758.8499994,315118834.26749897,Grid21,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (189431.7588499994 314655.834267499),Hill country Limburg 
192231365.74999937,315118834.26749897,Grid22,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (192076.3657499994 314655.834267499),Hill country Limburg 
194875972.6499994,315118834.26749897,Grid23,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (194720.9726499994 314655.834267499),Hill country Limburg 
197520579.5499995,315118834.26749897,Grid24,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (197365.5795499995 314655.834267499),Hill country Limburg 
200165186.4499995,315118834.26749897,Grid25,Limburg,hll,Hoofdweg,Leem,POINT (200010.1864499995 314655.834267499),Hill country Limburg 
173719117.4499993,318242688.774499,Grid26,Limburg,,Recreatie,Leem,POINT (173564.1174499993 317779.688774499),
176363724.3499993,318242688.774499,Grid27,Limburg,,Bebouwd,"Bebouwing, enz",POINT (176208.7243499993 317779.688774499),
179008331.2499994,318242688.774499,Grid28,Limburg,,Bebouwd,"Bebouwing, enz",POINT (178853.3312499994 317779.688774499),
181652938.14999938,318242688.774499,Grid29,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (181497.9381499994 317779.688774499),Hill country Limburg 
184297545.04999942,318242688.774499,Grid30,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (184142.5450499994 317779.688774499),Hill country Limburg 
186942151.9499994,318242688.774499,Grid31,Limburg,hll,Bos,Leem,POINT (186787.1519499994 317779.688774499),Hill country Limburg 
189586758.8499994,318242688.774499,Grid32,Limburg,hll,Landbouw en overig agrarisch,Lichte zavel,POINT (189431.7588499994 317779.688774499),Hill country Limburg 
192231365.74999937,318242688.774499,Grid33,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (192076.3657499994 317779.688774499),Hill country Limburg 
194875972.6499994,318242688.774499,Grid34,Limburg,hll,Landbouw en overig agrarisch,Lichte zavel,POINT (194720.9726499994 317779.688774499),Hill country Limburg 
197520579.5499995,318242688.774499,Grid35,Limburg,hll,Bebouwd,"Bebouwing, enz",POINT (197365.5795499995 317779.688774499),Hill country Limburg 
200165186.4499995,318242688.774499,Grid36,Limburg,,Landbouw en overig agrarisch,"Bebouwing, enz",POINT (200010.1864499995 317779.688774499),
176363724.3499993,321366543.281499,Grid37,Limburg,riv,Bebouwd,"Bebouwing, enz",POINT (176208.7243499993 320903.543281499),River area 
179008331.2499994,321366543.281499,Grid38,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (178853.3312499994 320903.543281499),River area 
181652938.14999938,321366543.281499,Grid39,Limburg,hll,Hoofdweg,Zware zavel,POINT (181497.9381499994 320903.543281499),Hill country Limburg 
184297545.04999942,321366543.281499,Grid40,Limburg,hll,Bos,Leem,POINT (184142.5450499994 320903.543281499),Hill country Limburg 
186942151.9499994,321366543.281499,Grid41,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (186787.1519499994 320903.543281499),Hill country Limburg 
189586758.8499994,321366543.281499,Grid42,Limburg,hll,Bebouwd,Leem,POINT (189431.7588499994 320903.543281499),Hill country Limburg 
192231365.74999937,321366543.281499,Grid43,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (192076.3657499994 320903.543281499),Hill country Limburg 
194875972.6499994,321366543.281499,Grid44,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (194720.9726499994 320903.543281499),Hill country Limburg 
197520579.5499995,321366543.281499,Grid45,Limburg,,Bebouwd,"Bebouwing, enz",POINT (197365.5795499995 320903.543281499),
200165186.4499995,321366543.281499,Grid46,Limburg,,Recreatie,"Bebouwing, enz",POINT (200010.1864499995 320903.543281499),
202809793.3499995,321366543.281499,Grid47,Limburg,hll,Bebouwd,"Bebouwing, enz",POINT (202654.7933499995 320903.543281499),Hill country Limburg 
179008331.2499994,324490397.788499,Grid48,Limburg,riv,Landbouw en overig agrarisch,Zware zavel,POINT (178853.3312499994 324027.397788499),River area 
181652938.14999938,324490397.788499,Grid49,Limburg,hll,Spoorterrein,Leem,POINT (181497.9381499994 324027.397788499),Hill country Limburg 
184297545.04999942,324490397.788499,Grid50,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (184142.5450499994 324027.397788499),Hill country Limburg 
186942151.9499994,324490397.788499,Grid51,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (186787.1519499994 324027.397788499),Hill country Limburg 
189586758.8499994,324490397.788499,Grid52,Limburg,hll,Bos,Leem,POINT (189431.7588499994 324027.397788499),Hill country Limburg 
192231365.74999937,324490397.788499,Grid53,Limburg,hll,Landbouw en overig agrarisch,Leem,POINT (192076.3657499994 324027.397788499),Hill country Limburg 
194875972.6499994,324490397.788499,Grid54,Limburg,hll,Recreatie,Leem,POINT (194720.9726499994 324027.397788499),Hill country Limburg 
197520579.5499995,324490397.788499,Grid55,Limburg,,Bebouwd,"Bebouwing, enz",POINT (197365.5795499995 324027.397788499),
200165186.4499995,324490397.788499,Grid56,Limburg,,Bebouwd,"Bebouwing, enz",POINT (200010.1864499995 324027.397788499),
